Count	Direction	Type	Exp	Sex	Group
293	up-specific	DAR	TBT	M	up
63	up-share	DAR	TBT	M	up
289	down-specific	DAR	TBT	M	down
265	down-share	DAR	TBT	M	down
42	up-specific	DMR	As	F	up
9	up-share	DMR	As	F	up
37	down-specific	DMR	As	F	down
9	down-share	DMR	As	F	down
94	up-specific	DMR	DEHP	F	up
22	up-share	DMR	DEHP	F	up
118	down-specific	DMR	DEHP	F	down
46	down-share	DMR	DEHP	F	down
98	up-specific	DMR	Pb	F	up
24	up-share	DMR	Pb	F	up
54	down-specific	DMR	Pb	F	down
18	down-share	DMR	Pb	F	down
281	up-specific	DMR	BPA10ug	F	up
140	up-share	DMR	BPA10ug	F	up
781	down-specific	DMR	BPA10ug	F	down
107	down-share	DMR	BPA10ug	F	down
200	up-specific	DMR	PM2.5-JHU	F	up
171	up-share	DMR	PM2.5-JHU	F	up
526	down-specific	DMR	PM2.5-JHU	F	down
213	down-share	DMR	PM2.5-JHU	F	down
352	up-specific	DMR	TBT	F	up
190	up-share	DMR	TBT	F	up
1195	down-specific	DMR	TBT	F	down
642	down-share	DMR	TBT	F	down
123	up-specific	DMR	TCDD	F	up
78	up-share	DMR	TCDD	F	up
138	down-specific	DMR	TCDD	F	down
35	down-share	DMR	TCDD	F	down
3926	up-specific	DMR	BPA10mg	F	up
424	up-share	DMR	BPA10mg	F	up
45589	down-specific	DMR	BPA10mg	F	down
889	down-share	DMR	BPA10mg	F	down
66	up-specific	DMR	As	M	up
12	up-share	DMR	As	M	up
40	down-specific	DMR	As	M	down
4	down-share	DMR	As	M	down
109	up-specific	DMR	DEHP	M	up
36	up-share	DMR	DEHP	M	up
41	down-specific	DMR	DEHP	M	down
14	down-share	DMR	DEHP	M	down
61	up-specific	DMR	Pb	M	up
26	up-share	DMR	Pb	M	up
52	down-specific	DMR	Pb	M	down
16	down-share	DMR	Pb	M	down
829	up-specific	DMR	BPA10ug	M	up
397	up-share	DMR	BPA10ug	M	up
1476	down-specific	DMR	BPA10ug	M	down
370	down-share	DMR	BPA10ug	M	down
147	up-specific	DMR	PM2.5-JHU	M	up
118	up-share	DMR	PM2.5-JHU	M	up
570	down-specific	DMR	PM2.5-JHU	M	down
69	down-share	DMR	PM2.5-JHU	M	down
197	up-specific	DMR	TBT	M	up
61	up-share	DMR	TBT	M	up
317	down-specific	DMR	TBT	M	down
115	down-share	DMR	TBT	M	down
149	up-specific	DMR	TCDD	M	up
16	up-share	DMR	TCDD	M	up
37	down-specific	DMR	TCDD	M	down
9	down-share	DMR	TCDD	M	down
1597	up-specific	DMR	BPA10mg	M	up
427	up-share	DMR	BPA10mg	M	up
3723	down-specific	DMR	BPA10mg	M	down
409	down-share	DMR	BPA10mg	M	down
