Aylor_TCDD_Male_adult	Bartolomei_BPA10mg_Male_adult	Bartolomei_BPA10ug_Male_adult	Biswal_PM2.5_Male_adult	Dolinoy_DEHP_Male_adult	Dolinoy_Pb_Male_adult	Mutlu_PM2.5_Male_adult	Walker_TBT_Male_adult	Zhibin_As_Male_adult
Gm10925	0	0	0	1	0	0	0	0	0
Gm12481	0	0	0	1	0	0	0	0	0
Gm13456	0	0	0	0	0	1	0	0	0
Gm13509	0	0	0	0	0	1	0	0	0
Gm13835	0	0	0	1	0	0	0	0	0
Gm14410	0	0	0	0	0	0	0	1	0
Gm14586	0	0	0	0	0	0	0	1	0
Gm14719	0	0	0	1	0	0	0	0	0
Gm1821	0	0	0	0	0	1	0	0	0
Gm20939	0	0	0	1	0	0	0	0	0
Gm21781	0	0	0	0	0	0	0	0	1
Gm23935	0	0	0	1	0	0	0	0	0
Gm28437	0	0	0	1	0	0	0	0	0
Gm28439	0	0	0	1	0	0	0	0	0
Gm28661	0	0	0	1	0	0	0	0	0
Gm29216	0	0	0	1	0	0	0	0	0
Gm38394	0	0	0	0	0	1	0	0	0
Gm43305	0	0	0	0	0	1	0	0	0
Gm43672	0	0	0	1	0	0	0	0	0
Gm45051	0	1	0	0	0	0	0	0	0
Gm4956	0	0	0	1	0	0	0	0	0
Gm5526	0	0	0	1	0	0	0	0	0
Gm5617	0	0	0	0	0	0	0	0	1
Gm7694	0	0	0	1	0	0	0	0	0
Gm8186	0	0	0	0	0	0	0	1	0
Gm9385	0	0	0	0	0	0	0	1	0
Gpx4-ps2	0	0	0	1	0	0	0	0	0
Gpx8	0	0	0	0	0	1	0	0	0
Gstm1	0	1	0	0	0	0	0	0	0
Gstp3	0	0	0	1	0	0	0	0	0
Gstt2	0	0	0	0	0	0	1	0	0
H2-Aa	0	0	0	1	0	0	0	0	0
H2-T24	0	0	0	0	0	0	1	0	0
Hectd1	0	0	0	1	0	0	0	0	0
Hes6	0	0	0	1	0	0	0	0	0
Hist1h1e	0	0	0	0	0	1	0	0	0
Hk3	0	0	0	1	0	0	0	0	0
Hopx	0	1	0	0	0	0	0	0	0
Hsd17b11	0	0	0	1	0	0	0	0	0
Hspa2	0	0	0	1	0	0	0	0	0
Ier3ip1	0	0	0	0	0	0	0	0	1
Ighm	0	0	0	0	0	0	1	0	0
Il13ra1	0	0	0	0	0	0	1	0	0
Il15	1	0	0	0	0	0	0	0	0
Il1rn	0	0	0	1	0	0	1	0	0
Il6ra	0	0	0	1	0	0	0	0	0
Insig1	0	0	0	1	0	0	0	0	0
Iqcb1	0	0	0	1	0	0	0	0	0
Iqgap2	0	0	0	1	0	0	0	0	0
Kantr	0	0	0	0	0	1	0	0	0
Kcnj8	0	0	0	1	0	0	0	0	0
Kctd17	0	0	0	0	0	0	0	1	0
Kif11	0	0	0	1	0	0	0	0	0
Kif20a	0	0	0	1	0	0	0	0	0
Klhl11	0	0	0	1	0	0	0	0	0
Klra2	0	0	0	1	0	0	0	0	0
Lag3	0	0	0	0	0	0	0	1	0
Lars2	0	0	0	1	0	0	0	0	0
Lbp	0	0	0	0	0	0	0	1	0
Lcor	0	0	0	0	0	0	1	0	0
Leng8	0	0	0	0	0	0	0	0	1
Lgals4	0	0	0	0	0	0	0	1	0
Litaf	0	0	0	0	0	0	0	1	0
Lrg1	0	0	0	0	0	0	0	1	0
Lrrc8b	0	0	0	0	0	0	0	1	0
Ltbp2	0	1	0	0	0	0	0	0	0
Ly6d	0	0	0	0	0	0	0	1	0
Lyz2	0	0	0	1	0	0	0	0	0
Lzts2	0	0	0	1	0	0	0	0	0
Mad2l1bp	0	0	0	1	0	0	0	0	0
Mafb	0	0	0	1	0	0	0	0	0
Maged2	0	0	0	1	0	0	0	0	0
Man2c1os	0	0	0	0	0	0	1	0	0
Mcm10	0	0	0	1	0	0	0	0	0
Met	0	0	0	1	0	0	0	0	0
Mgll	0	0	0	1	0	0	0	0	0
Mgst3	0	0	0	0	0	0	1	0	0
Mir6236	0	0	0	0	0	0	0	1	0
Mirt2	0	0	0	1	0	0	0	1	0
Ms4a6d	0	0	0	0	0	0	1	1	0
Ms4a8a	0	0	0	1	0	0	0	0	0
mt-Co1	0	0	0	0	0	1	0	0	0
mt-Nd3	0	0	0	1	0	0	0	0	0
mt-Rnr2	0	0	1	0	0	0	0	0	0
Mycl	0	0	0	0	0	0	0	1	0
