AL_TCDD_F_Bl_adt	BA_BPA10mg_F_Bl_adt	BA_BPA10ug_F_Bl_adt	BI_PM2.5_F_Bl_adt	DO_Pb_F_Bl_adt	DO_DEHP_F_Bl_adt	MU_PM2.5_F_Bl_adt	ZB_As_F_Bl_adt	WK_TBT_F_Bl_adt
Mospd3	0	0	0	0	0	0	0	0	0.938331159359462
4930480K23Rik	0	0	0	0	0	0	0	0	0.931623591962069
Tet3	0	0	0	0	0	0	0	0	0.927396411175291
Gm37760	0	0	0	0	0	0	0	0	0.91381957150635
Crebbp	0	0	0	0	0	0	0	0	0.910934020760158
Luc7l2	0	0	0	0	0	0	0	0	0.909971038905859
Prdm9	0	0	0	0	0	0	0	0	0.904537690507954
Rtn1	0	0	0	0	0	0	0	0	0.904481736081095
Setd1b	0	0	0	0	0	0	0	0	0.90006031005945
Rfx7	0	0	0	0	0	0	0	0	0.898629441749678
Ppp2r3a	0	0	0	0	0	0	0	0	0.897719091031613
Gan	0	0	0	0	0	0	0	0	0.897185762411983
Yod1	0	0	0	0	0	0	0	0	0.89600554152118
Celf4	0	0	0	0	0	0	0	0	0.89581209074513
Krt10	0	0	0	0	0	0	0	0	0.895630549114678
Plekhg1	0	0	0	0	0	0	0	0	0.893578772850831
Gm37019	0	0	0	0	0	0	0	0	0.890754674235086
Kdm6b	0	0	0	0	0	0	0	0	0.889217749022303
AC114585.1	0	0	0	0	0	0	0	0	0.887235038071965
Stard9	0	0	0	0	0	0	0	0	0.886553103810522
Hipk1	0	0	0	0	0	0	0	0	0.879084731737593
Mapre3	0	0	0	0	0	0	0	0	0.877634019456708
Atxn7l1	0	0	0	0	0	0	0	0	0.877408121287261
Chic1	0	0	0	0	0	0	0	0	0.872065709703922
Bcl11a	0	0	0	0	0	0	0	0	0.868662580073961
Lrp1	0	0	0	0	0	0	0	0	0.867284448311558
Gm8034	0	0	0	0	0	0	0	0	0.867119159342166
Ugt1a6a	0	0	0	0	0	0	0	0	0.862886936253767
Sp2	0	0	0	0	0	0	0	0	0.860950273032646
Gm340	0	0	0	0	0	0	0	0	0.857595589423482
Tpmt	0	0	0	0	0	0	0	0	0.855189414044749
Iqsec2	0	0	0	0	0	0	0	0	0.854316458213344
Kdm7a	0	0	0	0	0	0	0	0	0.851938057734322
Wnk1	0	0	0	0	0	0	0	0	0.851656770128879
Spop	0	0	0	0	0	0	0	0	0.851518174496559
Ncl	0	0	0	0	0	0	0	0	0.848690289721947
Eaf2	0	0	0	0	0	0	0	0	0.847603584982136
Herc6	0	0	0	0	0	0	0	0	0.847603079918466
Gpd1	0	0	0	0	0	0	0	0	0.84262005294642
Nlrp1b	0	0	0	0	0	0	0	0	0.842064330247225
Gm12346	0	0	0	0	0	0	0	0	0.841533390718889
Pbrm1	0	0	0	0	0	0	0	0	0.840882173435556
Ago2	0	0	0	0	0	0	0	0	0.838583611924231
Zfp703	0	0	0	0	0	0	0	0	0.836743347497081
Slc3a2	0	0	0	0	0	0	0	0	0.836027042057333
Fus	0	0	0	0	0	0	0	0	0.835118718475367
Ncor2	0	0	0	0	0	0	0	0	0.82909978505091
E130307A14Rik	0	0	0	0	0	0	0	0	0.827330576319438
Serinc3	0	0	0	0	0	0	0	0	0.826841456796824
Eif3j1	0	0	0	0	0	0	0	0	0.824502537576759
Zfp948	0	0	0	0	0	0	0	0	0.823913464876035
Foxo3	0	0	0	0	0	0	0	0	0.823605324808464
Ern1	0	0	0	0	0	0	0	0	0.822562383579426
Gpr35	0	0	0	0	0	0	0	0	0.821460891809547
Wasf2	0	0	0	0	0	0	0	0	0.821307727279764
C3	0	0	0	0	0	0	0	0	0.818955236168445
Top1	0	0	0	0	0	0	0	0	0.812376666534351
Lrch4	0	0	0	0	0	0	0	0	0.811906625267341
Gm13910	0	0	0	0	0	0	0	0	0.811676421452457
Acbd5	0	0	0	0	0	0	0	0	0.811362819126481
Armh3	0	0	0	0	0	0	0	0	0.80997887313259
Gm43692	0	0	0	0	0	0	0	0	0.809571692427622
Trak2	0	0	0	0	0	0	0	0	0.807368676603556
Wdr26	0	0	0	0	0	0	0	0	0.807305420423357
BC005537	0	0	0	0	0	0	0	0	0.807078523104502
Uso1	0	0	0	0	0	0	0	0	0.805929092638648
Trps1	0	0	0	0	0	0	0	0	0.804918790389221
Eif5	0	0	0	0	0	0	0	0	0.804500599990619
Gm42715	0	0	0	0	0	0	0	0	0.802238444026039
Fry	0	0	0	0	0	0	0	0	0.801691570300909
Tnrc6b	0	0	0	0	0	0	0	0	0.800195672240839
Slc16a7	0	0	0	0	0	0	0	0	0.799248250346352
Gatad2b	0	0	0	0	0	0	0	0	0.795871256479227
Galnt1	0	0	0	0	0	0	0	0	0.793250473625752
Cir1	0	0	0	0	0	0	0	0	0.790502049963847
Pip4k2a	0	0	0	0	0	0	0	0	0.786376178122934
Calcoco1	0	0	0	0	0	0	0	0	0.782120601060635
Chic2	0	0	0	0	0	0	0	0	0.779430562479957
Selenot	0	0	0	0	0	0	0	0	0.779225560378695
Ylpm1	0	0	0	0	0	0	0	0	0.77897434407847
Alpk1	0	0	0	0	0	0	0	0	0.778774265898111
Sp100	0	0	0	0	0	0	0	0	0.778084579461837
Hivep3	0	0	0	0	0	0	0	0	0.777643640107507
Mical3	0	0	0	0	0	0	0	0	0.777095890438605
Zmiz1	0	0	0	0	0	0	0	0	0.776643001093836
Ddias	0	0	0	0	0	0	0	0	0.775923471285169
AC154492.2	0	0	0	0	0	0	0	0	0.773332539294632
Srp54c	0	0	0	0	0	0	0	0	0.773096675661431
Sec62	0	0	0	0	0	0	0	0	0.770951145652751
Phyhd1	0	0	0	0	0	0	0	0	0.765576705486271
Tgfb1	0	0	0	0	0	0	0	0	0.762914402964542
5930430L01Rik	0	0	0	0	0	0	0	0	0.76182022798008
Rab23	0	0	0	0	0	0	0	0	0.759556617187919
Zbtb44	0	0	0	0	0	0	0	0	0.759551563187714
Pkd2	0	0	0	0	0	0	0	0	0.758747872811249
Cdk12	0	0	0	0	0	0	0	0	0.758221982217791
Styx	0	0	0	0	0	0	0	0	0.756892634219365
Dleu2	0	0	0	0	0	0	0	0	0.755890201402465
Ankrd13c	0	0	0	0	0	0	0	0	0.755568548652315
Zfp946	0	0	0	0	0	0	0	0	0.753672029002195
Cd180	0	0	0	0	0	0	0	0	0.752835684543828
Cep290	0	0	0	0	0	0	0	0	0.752126615328531
Ranbp10	0	0	0	0	0	0	0	0	0.75201597984256
Cenpq	0	0	0	0	0	0	0	0	0.749810335134774
