AL_TCDD_F_Bl_adt	BA_BPA10mg_F_Bl_adt	BA_BPA10ug_F_Bl_adt	BI_PM2.5_F_Bl_adt	DO_Pb_F_Bl_adt	DO_DEHP_F_Bl_adt	MU_PM2.5_F_Bl_adt	ZB_As_F_Bl_adt	WK_TBT_F_Bl_adt
Zbtb6	0	0	0	0	0	0	0	0.727910575607701	0
Lair1	0	0	0	0	0	0	0	0.727741934379772	0
Scimp	0	0	0	0	0	0	0	0.724942205904652	0
Lgals3	0	0	0	0	0	0	0	0.712818644010153	0
Hnrnpa0	0	0	0	0	0	0	0	0.702733296883619	0
Zfp995	0	0	0	0	0	0	0	0.682715227353611	0
Sptssa	0	0	0	0	0	0	0	0.680760282166407	0
Usp18	0	0	0	0	0	0	0	0.673859492651507	0
Jrkl	0	0	0	0	0	0	0	0.672498424063883	0
Fam241a	0	0	0	0	0	0	0	0.669483193051217	0
Aldh1b1	0	0	0	0	0	0	0	0.663853647977212	0
Ier3ip1	0	0	0	0	0	0	0	0.661294628219247	0
Immp1l	0	0	0	0	0	0	0	0.660010084323177	0
Trp53rkb	0	0	0	0	0	0	0	0.653229280591113	0
Cmc1	0	0	0	0	0	0	0	0.636644541175592	0
Cd52	0	0	0	0	0	0	0	0.635598541498869	0
Pdcd10	0	0	0	0	0	0	0	0.633995446178833	0
Rgs2	0	0	0	0	0	0	0	0.626863903636644	0
Ciao2a	0	0	0	0	0	0	0	0.61866305282105	0
H2-Eb2	0	0	0	0	0	0	0	0.615399470584309	0
Sdhd	0	0	0	0	0	0	0	0.611902554218909	0
Sat1	0	0	0	0	0	0	0	0.610186468610389	0
Metrn	0	0	0	0	0	0	0	0.60956010011404	0
Arl6ip1	0	0	0	0	0	0	0	0.606250576539363	0
C030034I22Rik	0	0	0	0	0	0	0	0.605374036595655	0
Gm19585	0	0	0	0	0	0	0	0.601872466023552	0
Cenps	0	0	0	0	0	0	0	0.600767806002126	0
C1d	0	0	0	0	0	0	0	0.598767090164515	0
Purb	0	0	0	0	0	0	0	0.593481350712612	0
Prss34	0	0	0	0	0	0	2.03059767431089	0	0
Fcnb	0	0	0	0	0	0	1.94115267994678	0	0
Cxcl12	0	0	0	0	0	0	1.66279111730955	0	0
Hspa1b	0	0	0	0	0	0	1.65890825843688	0	0
Cp	0	0	0	0	0	0	1.08168434531555	0	0
Mybl2	0	0	0	0	0	0	0.956344122970762	0	0
Stip1	0	0	0	0	0	0	0.950576023779192	0	0
Gm10138	0	0	0	0	0	0	0.938677232373106	0	0
Mblac1	0	0	0	0	0	0	0.891699938610321	0	0
Aurkb	0	0	0	0	0	0	0.843867760608991	0	0
Dnaja1	0	0	0	0	0	0	0.748110955202967	0	0
Fkbp4	0	0	0	0	0	0	0.739163354143296	0	0
Chordc1	0	0	0	0	0	0	0.689406723736315	0	0
G430095P16Rik	0	0	0	0	0	0	0.665518098231111	0	0
Ptges3	0	0	0	0	0	0	0.647047531130552	0	0
Gm15545	0	0	0	0	0	0	0.644724784577577	0	0
Hspa8	0	0	0	0	0	0	0.624645245329854	0	0
Hsp90ab1	0	0	0	0	0	0	0.610360737034365	0	0
Pde3b	0	0	0	0	0	0	0.602482525549298	0	0
Tpt1-ps6	0	0	0	0	0	1.31957321045972	0	0	0
Gm15922	0	0	0	0	0	0.719456234061581	0	0	0
AC125351.1	0	0	0	0	0	0.704160156126965	0	0	0
Apol11b	0	0	0	0	1.93014985782713	0	0	0	0
Gm6807	0	0	0	0	1.46257623457147	0	0	0	0
Gm5586	0	0	0	0	1.20722179252894	0	0	0	0
Rpl34-ps1	0	0	0	0	1.15699451010584	0	0	0	0
Gm11425	0	0	0	0	1.14075172870011	0	0	0	0
Rpl39-ps	0	0	0	0	1.12045038988626	0	0	0	0
Gm8730	0	0	0	0	0.88529354034093	0	0	0	0
Gm48281	0	0	0	4.31778676360653	0	0	0	0	0
Gm27477	0	0	0	4.1113268133842	0	0	0	0	0
Ighg2c	0	0	0	3.77778225049807	0	0	0	0	0
Phgr1	0	0	0	3.49849382685689	0	0	0	0	0
Gm24270	0	0	0	3.37795357416367	0	0	0	0	0
2900079G21Rik	0	0	0	3.10630876857652	0	0	0	0	0
Gm28905	0	0	0	3.08736364413836	0	0	0	0	0
Il4	0	0	0	3.06886090176657	0	0	0	0	0
Gm2822	0	0	0	2.97549816093676	0	0	0	0	0
Gm4262	0	0	0	2.9042014852296	0	0	0	0	0
C530050E15Rik	0	0	0	2.83404597624794	0	0	0	0	0
Slc6a3	0	0	0	2.77060620973317	0	0	0	0	0
Bicd1	0	0	0	2.75368810691403	0	0	0	0	0
Gm23935	0	0	0	2.69790329875789	0	0	0	0	0
Pla2g10	0	0	0	2.63355413514963	0	0	0	0	0
Il7	0	0	0	2.59674747680609	0	0	0	0	0
Rn7sk	0	0	0	2.59468729941742	0	0	0	0	0
1700012I11Rik	0	0	0	2.57189522194288	0	0	0	0	0
Ntn4	0	0	0	2.56790687475356	0	0	0	0	0
Gm24187	0	0	0	2.54652748848762	0	0	0	0	0
Gm46515	0	0	0	2.50140995915738	0	0	0	0	0
Macrod2	0	0	0	2.4988419115763	0	0	0	0	0
Ggn	0	0	0	2.45833868865608	0	0	0	0	0
4930412F12Rik	0	0	0	2.45205139128542	0	0	0	0	0
Gm49066	0	0	0	2.44656412596377	0	0	0	0	0
A930003A15Rik	0	0	0	2.40973319869822	0	0	0	0	0
Hist1h2bj	0	0	0	2.38635038711373	0	0	0	0	0
Mir6236	0	0	0	2.3766729040015	0	0	0	0	0
Gm13522	0	0	0	2.338302465336	0	0	0	0	0
Pcnx2	0	0	0	2.33662854306331	0	0	0	0	0
Gm28661	0	0	0	2.32530005820139	0	0	0	0	0
Gm28437	0	0	0	2.30057808859227	0	0	0	0	0
Mir99ahg	0	0	0	2.29029642830297	0	0	0	0	0
Gm10925	0	0	0	2.24201793444432	0	0	0	0	0
Lim2	0	0	0	2.23472458627932	0	0	0	0	0
Lmna	0	0	0	2.21498591375812	0	0	0	0	0
Lrrc39	0	0	0	2.21268148084782	0	0	0	0	0
Gm9796	0	0	0	2.16360677832458	0	0	0	0	0
Dapk1	0	0	0	2.16154734423427	0	0	0	0	0
Gm15657	0	0	0	2.11189966323559	0	0	0	0	0
Ccdc85c	0	0	0	2.10210950905332	0	0	0	0	0
Gm45705	0	0	0	2.08022509592437	0	0	0	0	0
Star	0	0	0	2.04273663648819	0	0	0	0	0
Fer	0	0	0	2.02522254484865	0	0	0	0	0
mt-Tp	0	0	0	1.97804013024082	0	0	0	0	0
Gm15590	0	0	0	1.96450509056875	0	0	0	0	0
Lzts2	0	0	0	1.9190023098553	0	0	0	0	0
Zfp300	0	0	0	1.88801801911853	0	0	0	0	0
Adarb1	0	0	0	1.87798231000618	0	0	0	0	0
Lamp5	0	0	0	1.8749907541122	0	0	0	0	0
Gm17749	0	0	0	1.86086752244658	0	0	0	0	0
Apbb1	0	0	0	1.85325801213807	0	0	0	0	0
Tmem151b	0	0	0	1.84845672424411	0	0	0	0	0
Pnck	0	0	0	1.84253034580058	0	0	0	0	0
Ighg2b	0	0	0	1.82363667139378	0	0	0	0	0
Gm16001	0	0	0	1.8201819013215	0	0	0	0	0
Sox5os2	0	0	0	1.7988706853888	0	0	0	0	0
Gm42418	0	0	0	1.797987964104	0	0	0	0	0
Fam184a	0	0	0	1.76603822763168	0	0	0	0	0
Exoc3l4	0	0	0	1.74516373915751	0	0	0	0	0
Gm43154	0	0	0	1.74154268533752	0	0	0	0	0
Gm19412	0	0	0	1.72025566570061	0	0	0	0	0
Tmem41a	0	0	0	1.69945930769639	0	0	0	0	0
Lhpp	0	0	0	1.69410840526406	0	0	0	0	0
mt-Atp6	0	0	0	1.69255816799836	0	0	0	0	0
mt-Co3	0	0	0	1.68758856771133	0	0	0	0	0
Nacc2	0	0	0	1.68474618196069	0	0	0	0	0
1810006J02Rik	0	0	0	1.68364817520837	0	0	0	0	0
Cdh22	0	0	0	1.6400148557675	0	0	0	0	0
Frmd4b	0	0	0	1.63890649560263	0	0	0	0	0
Ltbp1	0	0	0	1.62294276187954	0	0	0	0	0
Gm3724	0	0	0	1.61047016756842	0	0	0	0	0
Plekha8	0	0	0	1.60662578491543	0	0	0	0	0
Arpp21	0	0	0	1.59114543631228	0	0	0	0	0
Igha	0	0	0	1.57216288286671	0	0	0	0	0
Smox	0	0	0	1.557321279453	0	0	0	0	0
Gm15441	0	0	0	1.54984224581189	0	0	0	0	0
Tubb2b	0	0	0	1.54733238240425	0	0	0	0	0
Vps25	0	0	0	1.54721149365653	0	0	0	0	0
Ptk2	0	0	0	1.53059707669865	0	0	0	0	0
Gstt1	0	0	0	1.52821116878331	0	0	0	0	0
Hsf2bp	0	0	0	1.49088151662558	0	0	0	0	0
Trim58	0	0	0	1.47512745715044	0	0	0	0	0
Bcl2l1	0	0	0	1.4511383280342	0	0	0	0	0
Gm37352	0	0	0	1.43874704904082	0	0	0	0	0
B230217O12Rik	0	0	0	1.42554491766678	0	0	0	0	0
Dnajb2	0	0	0	1.42051181253734	0	0	0	0	0
Dusp19	0	0	0	1.4172501596575	0	0	0	0	0
Sirt3	0	0	0	1.39734701010768	0	0	0	0	0
Acad12	0	0	0	1.39483447390836	0	0	0	0	0
Lncpint	0	0	0	1.38980626709521	0	0	0	0	0
Cyp4b1-ps2	0	0	0	1.34771919255777	0	0	0	0	0
Itpr2	0	0	0	1.34684761888908	0	0	0	0	0
Grtp1	0	0	0	1.3328951534878	0	0	0	0	0
Camk1	0	0	0	1.32481402525394	0	0	0	0	0
Hecw2	0	0	0	1.32279434000111	0	0	0	0	0
Aldh1a1	0	0	0	1.31940196251759	0	0	0	0	0
Plscr4	0	0	0	1.31649794689608	0	0	0	0	0
Afp	0	0	0	1.31023963461813	0	0	0	0	0
Zfp366	0	0	0	1.29680745373746	0	0	0	0	0
Gm13986	0	0	0	1.28166600348566	0	0	0	0	0
Kif5a	0	0	0	1.28130956154963	0	0	0	0	0
Itsn1	0	0	0	1.2755899675928	0	0	0	0	0
Syt11	0	0	0	1.26546866581178	0	0	0	0	0
Gm15915	0	0	0	1.26527880436746	0	0	0	0	0
Dnaja4	0	0	0	1.26341497139964	0	0	0	0	0
Tmbim1	0	0	0	1.24350275006133	0	0	0	0	0
Mill2	0	0	0	1.24101302832662	0	0	0	0	0
Pea15a	0	0	0	1.23628623036972	0	0	0	0	0
Pkn3	0	0	0	1.23316881761945	0	0	0	0	0
Gm6180	0	0	0	1.232484773265	0	0	0	0	0
Snap47	0	0	0	1.22725877343619	0	0	0	0	0
Tnip3	0	0	0	1.22644915862855	0	0	0	0	0
Tjp1	0	0	0	1.21792979351053	0	0	0	0	0
Nif3l1	0	0	0	1.20674803599661	0	0	0	0	0
Cpq	0	0	0	1.20506964031091	0	0	0	0	0
Gm10642	0	0	0	1.20259132535504	0	0	0	0	0
Tagln2	0	0	0	1.19231276374145	0	0	0	0	0
4632428C04Rik	0	0	0	1.18789142839317	0	0	0	0	0
Ecm1	0	0	0	1.18752174136127	0	0	0	0	0
Peg13	0	0	0	1.1870530838144	0	0	0	0	0
March2	0	0	0	1.18677006509383	0	0	0	0	0
Dusp3	0	0	0	1.17898411797585	0	0	0	0	0
Gm45546	0	0	0	1.17896251136559	0	0	0	0	0
Nipa1	0	0	0	1.17808225724099	0	0	0	0	0
Nr4a2	0	0	0	1.17456792882094	0	0	0	0	0
Itgb1	0	0	0	1.17356601339501	0	0	0	0	0
Cox6b2	0	0	0	1.17185968810289	0	0	0	0	0
Dhrs3	0	0	0	1.17161331572555	0	0	0	0	0
Ergic1	0	0	0	1.16881241358122	0	0	0	0	0
Gm38372	0	0	0	1.16693076958389	0	0	0	0	0
Gm28512	0	0	0	1.16110106342163	0	0	0	0	0
Rps6kc1	0	0	0	1.15135460836212	0	0	0	0	0
Dnase1l1	0	0	0	1.14934128192751	0	0	0	0	0
BC064078	0	0	0	1.14047032289151	0	0	0	0	0
Efhc1	0	0	0	1.12928771123069	0	0	0	0	0
Ttc23	0	0	0	1.12910789501183	0	0	0	0	0
Oaz1-ps	0	0	0	1.12404605643384	0	0	0	0	0
C330011M18Rik	0	0	0	1.12349555652706	0	0	0	0	0
Rpl30-ps1	0	0	0	1.1169348726381	0	0	0	0	0
Chek2	0	0	0	1.10748517316425	0	0	0	0	0
Cryzl2	0	0	0	1.09932202857948	0	0	0	0	0
Pitpnc1	0	0	0	1.09758035919216	0	0	0	0	0
Exoc4	0	0	0	1.09598415418692	0	0	0	0	0
Popdc2	0	0	0	1.0887139248104	0	0	0	0	0
Map3k12	0	0	0	1.08386481038386	0	0	0	0	0
F13a1	0	0	0	1.0815968091102	0	0	0	0	0
Gnaq	0	0	0	1.08148962889733	0	0	0	0	0
Tfec	0	0	0	1.076036372848	0	0	0	0	0
Nprl3	0	0	0	1.06767812738666	0	0	0	0	0
Cmtm4	0	0	0	1.06662793697602	0	0	0	0	0
1700020I14Rik	0	0	0	1.06653176511553	0	0	0	0	0
Gm28417	0	0	0	1.06493941934395	0	0	0	0	0
Siae	0	0	0	1.06474272987054	0	0	0	0	0
Mgme1	0	0	0	1.05936389395554	0	0	0	0	0
Hexim2	0	0	0	1.05792638935482	0	0	0	0	0
Panx1	0	0	0	1.05445530772285	0	0	0	0	0
Ascc1	0	0	0	1.05172284017397	0	0	0	0	0
Eldr	0	0	0	1.05074119611057	0	0	0	0	0
Med21	0	0	0	1.04994513383676	0	0	0	0	0
Gm34590	0	0	0	1.03806744962565	0	0	0	0	0
Gm8013	0	0	0	1.03688925940504	0	0	0	0	0
Nqo2	0	0	0	1.03124516140132	0	0	0	0	0
Ypel5	0	0	0	1.02877798924297	0	0	0	0	0
Sfxn1	0	0	0	1.02609003161658	0	0	0	0	0
Ppp1r3f	0	0	0	1.01929094591087	0	0	0	0	0
Mylpf	0	0	0	1.01735974346044	0	0	0	0	0
Mkrn1-ps1	0	0	0	1.01689311793866	0	0	0	0	0
Mff	0	0	0	1.01479084785217	0	0	0	0	0
Lipc	0	0	0	1.01369072286131	0	0	0	0	0
Ost4	0	0	0	1.00626925225519	0	0	0	0	0
Cped1	0	0	0	1.0059562029725	0	0	0	0	0
Acyp2	0	0	0	0.99207840155699	0	0	0	0	0
Pink1	0	0	0	0.988390809576224	0	0	0	0	0
Mrrf	0	0	0	0.987272012298186	0	0	0	0	0
Gm1821	0	0	0	0.985839464092133	0	0	0	0	0
Spin2c	0	0	0	0.985406623265395	0	0	0	0	0
Gm19605	0	0	0	0.985292674484031	0	0	0	0	0
Akap5	0	0	0	0.984621819520106	0	0	0	0	0
Mtmr11	0	0	0	0.983733319437725	0	0	0	0	0
Hist1h2ae	0	0	0	0.982226220559099	0	0	0	0	0
Bag3	0	0	0	0.980642247544108	0	0	0	0	0
Zfp937	0	0	0	0.979154842708604	0	0	0	0	0
Klra13-ps	0	0	0	0.97371175336468	0	0	0	0	0
Atp2a1	0	0	0	0.970087566704799	0	0	0	0	0
Rnf138	0	0	0	0.964059670601205	0	0	0	0	0
Tpm3-rs7	0	0	0	0.963470907944784	0	0	0	0	0
A430018G15Rik	0	0	0	0.961297008667503	0	0	0	0	0
Ankrd66	0	0	0	0.953915879943468	0	0	0	0	0
Trim37	0	0	0	0.953602993677237	0	0	0	0	0
M1ap	0	0	0	0.95159243812146	0	0	0	0	0
Fundc2	0	0	0	0.949837024220752	0	0	0	0	0
Anapc11	0	0	0	0.949488719888289	0	0	0	0	0
Fam71b	0	0	0	0.947532840777639	0	0	0	0	0
Atn1	0	0	0	0.944711087546354	0	0	0	0	0
Actn2	0	0	0	0.942915727151854	0	0	0	0	0
Slc35f5	0	0	0	0.941267617860928	0	0	0	0	0
Dynlt1b	0	0	0	0.938341834485176	0	0	0	0	0
Rnf5	0	0	0	0.935545079290906	0	0	0	0	0
Stim1	0	0	0	0.933626902167299	0	0	0	0	0
Adam11	0	0	0	0.933553694802977	0	0	0	0	0
Slc45a4	0	0	0	0.933382794811213	0	0	0	0	0
Bcl2l2	0	0	0	0.932926988366018	0	0	0	0	0
Cd81	0	0	0	0.929284795840523	0	0	0	0	0
Klf7	0	0	0	0.927697091696569	0	0	0	0	0
Nt5c3	0	0	0	0.926377752079502	0	0	0	0	0
Ctsd	0	0	0	0.921301089311531	0	0	0	0	0
Chmp5	0	0	0	0.92107279507395	0	0	0	0	0
St3gal1	0	0	0	0.920893063071509	0	0	0	0	0
Tcta	0	0	0	0.91878674669452	0	0	0	0	0
BC031181	0	0	0	0.918689163043155	0	0	0	0	0
Tyro3	0	0	0	0.915647293480461	0	0	0	0	0
Gm10369	0	0	0	0.915151318115084	0	0	0	0	0
Rabac1	0	0	0	0.914407757795753	0	0	0	0	0
Ap1s1	0	0	0	0.91436920373713	0	0	0	0	0
Aig1	0	0	0	0.909944127156296	0	0	0	0	0
Cpped1	0	0	0	0.908673464059401	0	0	0	0	0
Map1lc3a	0	0	0	0.908322763726294	0	0	0	0	0
Smim19	0	0	0	0.906643695426908	0	0	0	0	0
2810002D19Rik	0	0	0	0.898666704901018	0	0	0	0	0
Agap3	0	0	0	0.895523370122884	0	0	0	0	0
Siglech	0	0	0	0.893933247459207	0	0	0	0	0
Pithd1	0	0	0	0.892772470546014	0	0	0	0	0
Cby1	0	0	0	0.891448779007546	0	0	0	0	0
Rtn4	0	0	0	0.886590444296092	0	0	0	0	0
Lrrc28	0	0	0	0.886488161896012	0	0	0	0	0
Peak1	0	0	0	0.886215389137212	0	0	0	0	0
Vdac3	0	0	0	0.885673891377865	0	0	0	0	0
Coa3	0	0	0	0.885628855272661	0	0	0	0	0
Pde1c	0	0	0	0.885083770581584	0	0	0	0	0
Gm5112	0	0	0	0.882741253652048	0	0	0	0	0
B330016D10Rik	0	0	0	0.880171583682036	0	0	0	0	0
Olr1	0	0	0	0.877257489251508	0	0	0	0	0
Stard4	0	0	0	0.873145520050821	0	0	0	0	0
Gm10643	0	0	0	0.871102376126246	0	0	0	0	0
Ggt1	0	0	0	0.866005591822695	0	0	0	0	0
A630072M18Rik	0	0	0	0.865444606231555	0	0	0	0	0
Aes	0	0	0	0.857248418698257	0	0	0	0	0
Txnl4a	0	0	0	0.855922461501416	0	0	0	0	0
Ccnd1	0	0	0	0.853686502504927	0	0	0	0	0
4921531C22Rik	0	0	0	0.852379963407714	0	0	0	0	0
Mettl27	0	0	0	0.851282770697638	0	0	0	0	0
Slc9a5	0	0	0	0.850501010336659	0	0	0	0	0
Ndufa4	0	0	0	0.850102705376409	0	0	0	0	0
Dnlz	0	0	0	0.848985498292539	0	0	0	0	0
Shb	0	0	0	0.84584728198393	0	0	0	0	0
Gm11346	0	0	0	0.84376692529765	0	0	0	0	0
Gabarapl2	0	0	0	0.843196894644872	0	0	0	0	0
Gm9844	0	0	0	0.842921684384701	0	0	0	0	0
Tuba1c	0	0	0	0.838316371062193	0	0	0	0	0
Gm6472	0	0	0	0.837910312688135	0	0	0	0	0
Gm14023	0	0	0	0.837450264955985	0	0	0	0	0
Tubb4b	0	0	0	0.835921075014568	0	0	0	0	0
Tmbim4	0	0	0	0.835611387826404	0	0	0	0	0
Becn1	0	0	0	0.835473904653019	0	0	0	0	0
Tprgl	0	0	0	0.833389979863872	0	0	0	0	0
A930005H10Rik	0	0	0	0.831454799316376	0	0	0	0	0
Gm3788	0	0	0	0.831174827901701	0	0	0	0	0
Pex14	0	0	0	0.830861121908137	0	0	0	0	0
Gm17251	0	0	0	0.829272353441361	0	0	0	0	0
Pkp4	0	0	0	0.827748144050615	0	0	0	0	0
Capn2	0	0	0	0.822983733833676	0	0	0	0	0
Leprot	0	0	0	0.822752504603032	0	0	0	0	0
Actn4	0	0	0	0.819653269957097	0	0	0	0	0
Rhoc	0	0	0	0.817638921313553	0	0	0	0	0
Rps10-ps2	0	0	0	0.815342563094873	0	0	0	0	0
Vps37a	0	0	0	0.814349678302004	0	0	0	0	0
Gadd45a	0	0	0	0.813976544256769	0	0	0	0	0
Bbc3	0	0	0	0.813166409242477	0	0	0	0	0
Gm16124	0	0	0	0.811339458051139	0	0	0	0	0
Fbxl17	0	0	0	0.808381573674522	0	0	0	0	0
Tmem9b	0	0	0	0.807422470404835	0	0	0	0	0
Tmem86a	0	0	0	0.805368485571844	0	0	0	0	0
Gpr160	0	0	0	0.80482770305632	0	0	0	0	0
1110004F10Rik	0	0	0	0.804576445365862	0	0	0	0	0
Iah1	0	0	0	0.803151969536495	0	0	0	0	0
Rap2b	0	0	0	0.802613481507629	0	0	0	0	0
Tle2	0	0	0	0.801390281553064	0	0	0	0	0
Atxn1	0	0	0	0.800174691795762	0	0	0	0	0
Tom1	0	0	0	0.798399416191944	0	0	0	0	0
Efcab2	0	0	0	0.797253844056967	0	0	0	0	0
Knop1	0	0	0	0.797136141002413	0	0	0	0	0
Rsph3b	0	0	0	0.796185246822068	0	0	0	0	0
Ppp6r1	0	0	0	0.79563317701768	0	0	0	0	0
Vdac1	0	0	0	0.795308725350063	0	0	0	0	0
Glipr2	0	0	0	0.794121250659898	0	0	0	0	0
Cinp	0	0	0	0.79309390201871	0	0	0	0	0
4930402H24Rik	0	0	0	0.792833082066184	0	0	0	0	0
Fopnl	0	0	0	0.79227618252847	0	0	0	0	0
Ndufs4	0	0	0	0.791067434309978	0	0	0	0	0
Amz2	0	0	0	0.79089189246485	0	0	0	0	0
Nt5m	0	0	0	0.789407756211596	0	0	0	0	0
Tm2d2	0	0	0	0.787155175610852	0	0	0	0	0
Fbxo9	0	0	0	0.787071435093347	0	0	0	0	0
Gm11175	0	0	0	0.786925346798422	0	0	0	0	0
Abcb9	0	0	0	0.785883319154509	0	0	0	0	0
Gata3	0	0	0	0.785148264057305	0	0	0	0	0
Atg7	0	0	0	0.784631355684355	0	0	0	0	0
Fam214b	0	0	0	0.783836439700711	0	0	0	0	0
Tnfaip8l1	0	0	0	0.782538436468292	0	0	0	0	0
Ppfibp1	0	0	0	0.782045182446712	0	0	0	0	0
Pisd-ps2	0	0	0	0.781929762650093	0	0	0	0	0
Gm13456	0	0	0	0.78105388464673	0	0	0	0	0
Gm26510	0	0	0	0.77690646863711	0	0	0	0	0
Tmco3	0	0	0	0.776889522967196	0	0	0	0	0
Hdac5	0	0	0	0.771543883260782	0	0	0	0	0
Tmem159	0	0	0	0.771536033716384	0	0	0	0	0
Josd1	0	0	0	0.76995305881573	0	0	0	0	0
Gm4366	0	0	0	0.768752921654638	0	0	0	0	0
Tatdn1	0	0	0	0.768267088025846	0	0	0	0	0
Spef1	0	0	0	0.767978535560038	0	0	0	0	0
Hcst	0	0	0	0.766409922412324	0	0	0	0	0
Tmem203	0	0	0	0.766267580882466	0	0	0	0	0
Pear1	0	0	0	0.765493757396572	0	0	0	0	0
Eepd1	0	0	0	0.764325823149863	0	0	0	0	0
Fundc1	0	0	0	0.763496340728299	0	0	0	0	0
Kctd17	0	0	0	0.763151625468255	0	0	0	0	0
Rab12	0	0	0	0.757187821814561	0	0	0	0	0
Borcs8	0	0	0	0.757011039261187	0	0	0	0	0
Hoxb4	0	0	0	0.756016507905173	0	0	0	0	0
Calm3	0	0	0	0.755412337927099	0	0	0	0	0
Mkrn1	0	0	0	0.753323518375196	0	0	0	0	0
Ube2o	0	0	0	0.752419656516708	0	0	0	0	0
Rock2	0	0	0	0.749366107151251	0	0	0	0	0
Pip4p2	0	0	0	0.749190000893484	0	0	0	0	0
A130010J15Rik	0	0	0	0.746564353701586	0	0	0	0	0
Fam104a	0	0	0	0.744619122098343	0	0	0	0	0
Cflar	0	0	0	0.743736644780504	0	0	0	0	0
Srp14	0	0	0	0.738567369972368	0	0	0	0	0
Ccdc112	0	0	0	0.737292758080393	0	0	0	0	0
Crtap	0	0	0	0.737011586719327	0	0	0	0	0
Arl15	0	0	0	0.736860474521146	0	0	0	0	0
Gm6421	0	0	0	0.736296054857604	0	0	0	0	0
Fam149b	0	0	0	0.733934892052115	0	0	0	0	0
Bbip1	0	0	0	0.733343583560683	0	0	0	0	0
Camk2n1	0	0	0	0.732500265613522	0	0	0	0	0
Chid1	0	0	0	0.725751819654372	0	0	0	0	0
AC126457.1	0	0	0	0.72425835528476	0	0	0	0	0
Klc1	0	0	0	0.724201926834507	0	0	0	0	0
Dynlt3	0	0	0	0.723754266410366	0	0	0	0	0
Ddr1	0	0	0	0.720620050681133	0	0	0	0	0
Stk39	0	0	0	0.720533152804052	0	0	0	0	0
Tmem250-ps	0	0	0	0.71868281971466	0	0	0	0	0
Rarg	0	0	0	0.716651962188739	0	0	0	0	0
Tmem120a	0	0	0	0.712295136337445	0	0	0	0	0
Camta1	0	0	0	0.711844757547543	0	0	0	0	0
Gm9493	0	0	0	0.711816784040752	0	0	0	0	0
Polr3k	0	0	0	0.711446159744442	0	0	0	0	0
Srgap2	0	0	0	0.710502928215963	0	0	0	0	0
Leng9	0	0	0	0.710147514978003	0	0	0	0	0
Agtrap	0	0	0	0.710050576450056	0	0	0	0	0
Hist3h2ba	0	0	0	0.709944227452334	0	0	0	0	0
Tmem43	0	0	0	0.708651135728186	0	0	0	0	0
Abcc1	0	0	0	0.708441273455367	0	0	0	0	0
Spcs1	0	0	0	0.707502522417387	0	0	0	0	0
Inpp4a	0	0	0	0.706893414403368	0	0	0	0	0
Golph3l	0	0	0	0.704917417699821	0	0	0	0	0
Tpst2	0	0	0	0.70322353982309	0	0	0	0	0
Anxa5	0	0	0	0.703217645261306	0	0	0	0	0
Tmem258	0	0	0	0.702470099307518	0	0	0	0	0
Pdgfb	0	0	0	0.702197041594904	0	0	0	0	0
Kif1b	0	0	0	0.70075131171126	0	0	0	0	0
Gskip	0	0	0	0.697242286865811	0	0	0	0	0
Hbq1b	0	0	0	0.694931807054453	0	0	0	0	0
Fbxo6	0	0	0	0.694778350563766	0	0	0	0	0
1810037I17Rik	0	0	0	0.694563098998174	0	0	0	0	0
Selenok	0	0	0	0.692308757760659	0	0	0	0	0
Memo1	0	0	0	0.690512554307702	0	0	0	0	0
Iqcc	0	0	0	0.68837807325895	0	0	0	0	0
Ndfip2	0	0	0	0.687151791666397	0	0	0	0	0
Capn5	0	0	0	0.68679763898478	0	0	0	0	0
Mpc1	0	0	0	0.686513824555769	0	0	0	0	0
D330023K18Rik	0	0	0	0.686382743051866	0	0	0	0	0
Fam102b	0	0	0	0.684457446742726	0	0	0	0	0
Pura	0	0	0	0.682939037661954	0	0	0	0	0
Ssbp4	0	0	0	0.68292377404152	0	0	0	0	0
2610507B11Rik	0	0	0	0.682340763894713	0	0	0	0	0
Gm32401	0	0	0	0.682088543091759	0	0	0	0	0
Sirt5	0	0	0	0.680400258422314	0	0	0	0	0
Lcmt1	0	0	0	0.679147234717656	0	0	0	0	0
Slc38a10	0	0	0	0.678737369548031	0	0	0	0	0
Bag1	0	0	0	0.677228137259218	0	0	0	0	0
Gid4	0	0	0	0.675089760336319	0	0	0	0	0
Wdfy1	0	0	0	0.674985478443383	0	0	0	0	0
Zbtb46	0	0	0	0.674355590839296	0	0	0	0	0
Prep	0	0	0	0.671459269277406	0	0	0	0	0
Gzmm	0	0	0	0.671160248367916	0	0	0	0	0
Nedd8	0	0	0	0.669001915654131	0	0	0	0	0
Mpi	0	0	0	0.668716405551119	0	0	0	0	0
Mrpl48	0	0	0	0.666996912840714	0	0	0	0	0
Tle1	0	0	0	0.666425471047395	0	0	0	0	0
Gm37254	0	0	0	0.665940297465703	0	0	0	0	0
Mkks	0	0	0	0.664291521604808	0	0	0	0	0
Ikbip	0	0	0	0.663519986307127	0	0	0	0	0
4931406C07Rik	0	0	0	0.663374818926969	0	0	0	0	0
S1pr2	0	0	0	0.662854963754283	0	0	0	0	0
Akt2	0	0	0	0.661704774463761	0	0	0	0	0
Tbc1d4	0	0	0	0.658601545696228	0	0	0	0	0
Pla2g16	0	0	0	0.658271281243718	0	0	0	0	0
