C1	C2	C3	C4	C5	C6	C7	C8	C9	Tested_in_clustering	Cluster_control	Cluster_Exposure_P	Cluster_Exposure_Final
1700017B05Rik	12.4298062553199	15.1613719154214	9.57465973005244	13.6719773690238	22.1715307730938	6.99734842437865	17.5000780092458	8.79906630596079	7.35097411726157	100	9	9	9
1700018L02Rik	4.77329508092022	29.4919968962477	18.737305798551	17.4084430503466	36.9917762040598	8.61685166187853	32.9601993522658	4.72455130738541	13.7216820718446	100	6	8	8
1700020I14Rik	6.49221086651513	20.3976433642168	11.8190703887439	13.7085555104994	28.7401175004889	5.66557992420837	23.9117238806345	4.55423839230573	8.3359896694517	100	8	8	8
1700021F05Rik	10.1257120649622	21.5240892029256	15.8113489474618	12.4071688544717	23.3046549245815	10.691352520698	22.0589919031781	8.74428094148171	10.0792321213879	100	9	9	9
1700025G04Rik	3.12995343960636	34.5067196310764	25.5037423839799	13.8585612538625	32.824346568914	13.4823017362378	33.7620612393338	5.3253008103603	14.7639840746289	100	1	1	1
1700028E10Rik	25.3480965739365	7.88967011719208	6.81783185479838	18.453001044096	16.9425584893029	12.5654669180694	10.0534356957749	19.2676967633555	8.86579216362076	100	3	3	3
1700029I15Rik	6.86051963242199	25.4542775905929	19.0432505722467	11.2977952043798	24.9490006674604	10.8337142416851	24.8312959659661	6.54733685500956	10.5637500084323	100	9	8	1
1700030K09Rik	9.9464140556172	23.4201676706002	10.9165259287739	22.4470298313841	40.9965882368555	3.99403984204204	31.5576276746967	6.08653070389446	12.4895154199356	100	9	6	6
1700034P13Rik	15.8743085587642	25.2567152549022	25.3335300972043	9.81032177983587	11.2592423455211	20.1843831051712	17.7427754511556	15.5215014174904	13.0822149624179	100	9	4	9
1700037H04Rik	27.6165238166039	6.30924584268454	7.12425706824822	18.1052833430644	12.7092336492891	14.0703284574786	6.89834985148628	21.2274758269002	8.99493873347421	100	2	2	2
1700048O20Rik	6.29143159008797	26.7094473152392	15.6611790836852	17.8710973836615	36.427547269141	6.54429838906675	31.0980496535485	4.52609013239285	11.9989685654566	100	1	8	8
1700052K11Rik	3.17106706912856	27.4042179547073	18.1896578267564	13.7175937730623	31.7616900787623	8.54504097472832	29.2229351636547	3.66514282541817	11.4626769244727	100	9	1	1
1700066M21Rik	25.4917167505357	8.94288399918367	9.89342230767801	16.1037921316765	11.108065252065	14.5158910898709	7.53670042013285	19.8240158265758	8.82341696300619	100	7	7	7
1700080G11Rik	24.0081879539081	12.0048557603455	13.3100432437362	14.5842145445032	9.16772364318785	15.9471726352228	8.46318016423416	19.2356424403125	9.63662050896261	100	7	7	7
1700086O06Rik	6.11369141703903	29.8369923630863	26.3995611775654	8.16980452653329	18.5286491793563	16.1398432643014	24.3317024757249	8.10455778502625	13.3218235051149	100	1	1	1
